gvkey,datadate,fyearq,tic,actq,ancq,aoq,atq,aul3q,ceiexbillq,ceqq,cheq,chq,cogsq,cshiq,cshoq,dpq,drcq,drltq,lctq,ltq,rdipq,revtq,stkcpay,teqq,tfvaq,tfvlq,xrdq,xsgaq
12540,20160531,2016,ADBE,5238.564,6978.219,6182.142,12216.783,0,,7248.611,4318.408,886.379,136.606,600.834,498.972,84.461,1633.221,48.411,2385.59,4968.172,0,1398.709,,7248.611,4112.444,2.511,232.484,833.869
12540,20160831,2016,ADBE,5418.71,6948.731,6137.207,12367.441,0,,7277.946,4446.398,767.672,141.339,600.834,497.025,84.014,1745.282,52.703,2505.666,5089.495,0,1463.967,,7277.946,4352.973,1.696,248.45,869.627
12540,20161130,2016,ADBE,5839.774,6867.34,6051.076,12707.114,0,,7424.835,4761.3,1011.315,153.196,600.834,494.254,81.86,1945.619,69.131,2811.635,5282.279,0,1608.419,277.597,7424.835,4646.074,5.246,257.849,901.368
12540,20170228,2017,ADBE,5755.562,7289.221,6467.491,13044.783,0,,7588.69,4647.617,1068.896,175.656,600.834,495.13,80.809,1988.008,72.238,2954.069,5456.093,0,1681.646,,7588.69,4443.473,1.585,285.077,956.182
12540,20170531,2017,ADBE,6052.197,7312.703,6388.595,13364.9,0,,7803.998,4931.513,1316.95,177.045,600.834,493.324,81.635,2005.953,69.039,3047.896,5560.902,0,1772.19,,7803.998,4761.551,3.705,299.401,1009.428
12540,20170831,2017,ADBE,6581.057,7325.758,6385.949,13906.815,0,,8170.434,5368.486,1774.55,200.031,600.834,492.874,82.319,2136.771,68.093,3216.144,5736.381,0,1841.074,,8170.434,5026.752,1.41,315.555,1013.05
12540,20171130,2017,ADBE,7247.813,7287.743,6350.767,14535.556,0,,8459.869,5819.774,2306.072,208.324,600.834,491.262,81.234,2405.95,88.592,3527.457,6075.687,0,2006.595,301.272,8459.869,5610.174,2.656,324.026,1067.697
12540,20180228,2018,ADBE,7480.814,7492.671,6500.997,14973.485,0,,8634.028,6147.97,2666.981,199.526,600.834,492.88,76.522,2483.744,88.46,3536.469,6339.457,0,2078.947,,8634.028,5886.967,10.738,348.769,1100.166
12540,20180531,2018,ADBE,7741.444,7421.96,6428.474,15163.404,0,,8705.583,6334.064,2987.986,222.133,600.834,490.435,76.36,2543.462,90.805,3728.956,6457.821,0,2195.36,,8705.583,6096.157,11.356,374.128,1198.383
12540,20180831,2018,ADBE,6300.913,9094.707,8075.447,15395.62,0,,8861.925,4944.47,1747.144,232.476,600.834,489.007,86.89,2615.192,92.182,3792.027,6533.695,0,2291.076,,8861.925,4670.332,12.775,398.957,1253.104
12540,20181130,2018,ADBE,4857.039,13911.643,12836.571,18768.682,0,,9362.114,3228.962,1642.775,285.473,600.834,487.663,106.72,2915.974,137.63,4301.126,9406.568,0,2464.625,387.162,9362.114,2973.645,10.56,415.958,1351.886
15044,20130131,2012,WDAY,884.302,74.778,30.193,959.08,0,,592.283,790.339,84.158,27.202,166,166,5.784,199.34,85.92,254.774,366.797,0,81.519,15.328,592.283,769.714,0,30.252,67.961
